Species,ID_pine,ID_spruce,GO,ID_arabidopsis,Gene name,Gene description,Expression,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Norway spruce,,MA_14341g0010,,AT1G78020.1,,Protein of unknown function (DUF581),SHADE<SUN,485.0219783,5.997429284,0.684422828,8.762754597,1.91E-18,9.51E-16
Scots pine ,PITA_000029961,MA_14341g0010,,AT1G78020.1,,Protein of unknown function (DUF581),SHADE<SUN,264.779136,0.182054481,0.468240197,0.38880575,0.697419847,0.929115894
Norway spruce,,MA_14420g0010,,AT1G73260.1,ATKTI1,,,,,,,,
Scots pine ,PITA_000030630,MA_14420g0010,,AT1G73260.1,ATKTI1,,,,,,,,
Scots pine ,PITA_000007644,MA_14420g0010,,AT1G73260.1,ATKTI1,,,,,,,,
Norway spruce,,MA_14431g0010,,AT2G28780.1,,unknown,SHADE>SUN,48.3826152,-1.864742596,0.354820069,-5.255459767,1.48E-07,1.15E-05
Scots pine ,PITA_000018363,MA_14431g0010,,AT2G28780.1,,unknown,SHADE<SUN,65.50448218,0.287569372,0.650592364,0.4420116,0.658480812,0.914890579
Scots pine ,PITA_000061157,MA_14431g0010,,AT2G28780.1,,unknown,SHADE>SUN,100.9282411,-0.304260072,0.392111329,-0.775953282,0.437776571,0.797874081
Norway spruce,,MA_14774g0010,GO:0016798,AT2G28470.1,BGAL8,beta-galactosidase 8,SHADE>SUN,17.77745188,-1.743324077,0.481210262,-3.622790734,0.000291442,0.007303142
Scots pine ,PITA_000080850,MA_14774g0010,GO:0016798,AT2G28470.1,BGAL8,beta-galactosidase 8,SHADE>SUN,18.17362607,-0.165187463,0.679979203,-0.24293017,0.808059493,0.960011504
Norway spruce,,MA_150g0010,,AT1G27340.1,,Galactose oxidase/kelch repeat superfamily protein,SHADE>SUN,16.49672006,-2.428131185,0.531429334,-4.569057503,4.90E-06,0.000254624
Scots pine ,PITA_000043318,MA_150g0010,,AT1G27340.1,,Galactose oxidase/kelch repeat superfamily protein,SHADE>SUN,27.39003617,-0.315911308,0.533988265,-0.591607211,0.554113644,0.871857808
Norway spruce,,MA_154146g0010,,AT5G35550.1,ATMYB123,,,,,,,,
Scots pine ,PITA_000095788,MA_154146g0010,,AT5G35550.1,ATMYB123,,,,,,,,
Norway spruce,,MA_156275g0010,,AT2G46600.1,,Calcium-binding EF-hand family protein,SHADE>SUN,31.19652494,-1.295128756,0.364170952,-3.55637579,0.000376006,0.009002847
Scots pine ,PITA_000011842,MA_156275g0010,,AT2G46600.1,,Calcium-binding EF-hand family protein,SHADE>SUN,34.46698378,-0.248032697,0.290846757,-0.852795125,0.393772928,0.762997569
Norway spruce,,MA_15755g0010,GO:0019538,AT2G03200.1,,Eukaryotic aspartyl protease family protein,SHADE<SUN,430.7903863,0.969553143,0.240681206,4.028370807,5.62E-05,0.001921102
Scots pine ,PITA_000000204,MA_15755g0010,GO:0019538,AT2G03200.1,,Eukaryotic aspartyl protease family protein,SHADE<SUN,342.7937087,0.157572852,0.257364138,0.612256445,0.540368102,0.865662415
Scots pine ,PITA_000042013,MA_15755g0010,GO:0019538,AT2G03200.1,,Eukaryotic aspartyl protease family protein,SHADE>SUN,293.2837792,-0.311722017,0.779949271,-0.399669605,0.689399882,0.926144514
Scots pine ,PITA_000009371,MA_15755g0010,GO:0019538,AT2G03200.1,,Eukaryotic aspartyl protease family protein,SHADE>SUN,77.87909873,-0.422696042,0.231881939,-1.822893341,0.068319547,0.310862542
Scots pine ,PITA_000018721,MA_15755g0010,GO:0019538,AT2G03200.1,,Eukaryotic aspartyl protease family protein,SHADE>SUN,41.06168494,-0.431651947,0.446763677,-0.966175116,0.333956562,0.730295799
Scots pine ,PITA_000041622,MA_15755g0020,GO:0019538,AT2G03200.1,,Eukaryotic aspartyl protease family protein,SHADE>SUN,99.79307341,-0.219568652,0.282676509,-0.776748845,0.437306963,0.797411305
Norway spruce,,MA_1577g0010,,AT5G12950.1,,Putative glycosyl hydrolase of unknown function (DUF1680),SHADE<SUN,871.1350507,0.752998802,0.221187189,3.404350875,0.000663215,0.014088047
Scots pine ,PITA_000062545,MA_1577g0010,,AT5G12950.1,,Putative glycosyl hydrolase of unknown function (DUF1680),SHADE>SUN,85.70726759,-0.31806305,0.224903935,-1.414217362,0.157298092,0.512277536
Norway spruce,,MA_158362g0010,GO:0005634,AT1G68920.2,,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,SHADE>SUN,16.76836322,-2.11884991,0.476742444,-4.444433123,8.81E-06,0.000415452
Scots pine ,PITA_000094453,MA_158362g0010,GO:0005634,AT1G68920.2,,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,SHADE<SUN,54.90589401,0.290511815,0.786483972,0.369380465,0.711844157,0.932509071
Scots pine ,PITA_000017480,MA_158362g0010,GO:0005634,AT1G68920.2,,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,SHADE<SUN,87.08786016,0.35533687,0.650669282,0.546109797,0.584990466,0.885951228
Norway spruce,,MA_15852g0010,GO:0005737,AT3G53260.1,ATPAL2,,,,,,,,
Scots pine ,PITA_000096539,MA_15852g0010,GO:0005737,AT3G53260.1,ATPAL2,,,,,,,,
Norway spruce,,MA_158556g0010,GO:0000175,AT2G21790.1,ATRNR1,,,,,,,,
Scots pine ,PITA_000015165,MA_158556g0010,GO:0000175,AT2G21790.1,ATRNR1,,,,,,,,
Norway spruce,,MA_158806g0010,GO:0005215,AT4G18910.1,ATNLM2,,,,,,,,
Scots pine ,PITA_000010338,MA_158806g0010,GO:0005215,AT4G18910.1,ATNLM2,,,,,,,,
Scots pine ,PITA_000073896,MA_158806g0010,GO:0005215,AT4G18910.1,ATNLM2,,,,,,,,
Norway spruce,,MA_159244g0020,,AT3G54420.1,ATCHITIV,,,,,,,,
Scots pine ,PITA_000025056,MA_159244g0020,,AT3G54420.1,ATCHITIV,,,,,,,,
Scots pine ,PITA_000043780,MA_159244g0020,,AT3G54420.1,ATCHITIV,,,,,,,,
Scots pine ,PITA_000011153,MA_159244g0020,,AT3G54420.1,ATCHITIV,,,,,,,,
Scots pine ,PITA_000083734,MA_159244g0020,,AT3G54420.1,ATCHITIV,,,,,,,,
Scots pine ,PITA_000011155,MA_159244g0020,,AT3G54420.1,ATCHITIV,,,,,,,,
Scots pine ,PITA_000067560,MA_159244g0020,,AT3G54420.1,ATCHITIV,,,,,,,,
Scots pine ,PITA_000014543,MA_159244g0020,,AT3G54420.1,ATCHITIV,,,,,,,,
Scots pine ,PITA_000014539,MA_159244g0020,,AT3G54420.1,ATCHITIV,,,,,,,,
Norway spruce,,MA_15951g0010,GO:0008610,AT3G22400.1,LOX5,PLAT/LH2 domain-containing lipoxygenase family protein,SHADE>SUN,174.0105089,-3.33539216,0.373429709,-8.931780415,4.19E-19,2.26E-16
Scots pine ,PITA_000027856,MA_15951g0010,GO:0008610,AT3G22400.1,LOX5,PLAT/LH2 domain-containing lipoxygenase family protein,SHADE<SUN,410.428228,0.004261594,0.658860148,0.006468131,0.994839214,0.998948434
Norway spruce,,MA_16068g0010,,AT2G38820.2,,Protein of unknown function (DUF506) ,SHADE>SUN,30.13185915,-1.980151021,0.370992394,-5.337443705,9.43E-08,7.73E-06
Scots pine ,PITA_000050546,MA_16068g0010,,AT2G38820.2,,Protein of unknown function (DUF506) ,SHADE>SUN,66.2140743,-0.672761236,0.29916295,-2.248812016,0.024524459,0.153645024
Norway spruce,,MA_161903g0010,GO:0008610,AT3G22400.1,LOX5,PLAT/LH2 domain-containing lipoxygenase family protein,SHADE>SUN,131.3369137,-1.489560208,0.369250652,-4.034008339,5.48E-05,0.001884903
Scots pine ,PITA_000027933,MA_161903g0010,GO:0008610,AT3G22400.1,LOX5,PLAT/LH2 domain-containing lipoxygenase family protein,SHADE>SUN,100.7478026,-0.757182908,0.459429933,-1.64809224,0.099333744,0.393153186
Norway spruce,,MA_16264g0020,,AT3G46550.1,SOS5,Fasciclin-like arabinogalactan family protein,SHADE>SUN,168.1514274,-1.946999832,0.380565264,-5.116073418,3.12E-07,2.26E-05
Scots pine ,PITA_000089519,MA_16264g0020,,AT3G46550.1,SOS5,Fasciclin-like arabinogalactan family protein,SHADE<SUN,90.23621425,0.465806681,0.2823368,1.649826309,0.098978466,0.392208324
Norway spruce,,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE<SUN,638.8078004,0.829140275,0.158170478,5.24206721,1.59E-07,1.21E-05
Scots pine ,PITA_000015159,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE<SUN,530.6945194,0.670941213,0.265797911,2.524253143,0.01159444,0.087816973
Scots pine ,PITA_000091514,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE<SUN,68.16970595,0.858657516,0.775225406,1.107623033,0.268024652,0.675697428
Scots pine ,PITA_000014425,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE<SUN,311.783415,1.147976039,0.544615671,2.107864501,0.035042712,0.1973228
Scots pine ,PITA_000075061,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE<SUN,960.9724431,1.239690369,0.727605946,1.70379362,0.08841965,0.365997379
Scots pine ,PITA_000056307,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE>SUN,230.691776,-0.354499634,0.754867054,-0.469618632,0.63862751,0.907549747
Scots pine ,PITA_000087921,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE>SUN,273.0864608,-0.355246142,0.851466195,-0.417216965,0.676519717,0.921155145
Scots pine ,PITA_000068296,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE>SUN,58.70520127,-0.415364663,0.317685349,-1.307471889,0.191052496,0.571064666
Scots pine ,PITA_000054430,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE>SUN,72.04947185,-0.746382797,0.316511306,-2.358155244,0.01836601,0.124256035
Scots pine ,PITA_000031811,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE>SUN,62.77767871,-0.889184078,0.32897584,-2.702885652,0.006874039,0.058645768
Scots pine ,PITA_000078303,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE>SUN,119.6210828,-1.00412495,0.699538725,-1.435410097,0.15117027,0.50117578
Scots pine ,PITA_000047452,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE>SUN,30.33324337,-1.046685788,0.564385614,-1.854557881,0.063659387,0.297553004
Scots pine ,PITA_000088627,MA_164148g0010,,AT3G51680.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE>SUN,17.72017557,-1.498093016,0.847495193,-1.767671402,0.077115854,0.334699851
Norway spruce,,MA_164160g0010,,AT1G11530.1,ATCXXS1,,,,,,,,
Scots pine ,PITA_000066709,MA_164160g0010,,AT1G11530.1,ATCXXS1,,,,,,,,
Scots pine ,PITA_000062192,MA_164160g0010,,AT1G11530.1,ATCXXS1,,,,,,,,
Scots pine ,PITA_000034558,MA_164160g0010,,AT1G11530.1,ATCXXS1,,,,,,,,
Norway spruce,,MA_165943g0020,,AT5G25610.1,ATRD22,,,,,,,,
Scots pine ,PITA_000073699,MA_165943g0020,,AT5G25610.1,ATRD22,,,,,,,,
Scots pine ,PITA_000031855,MA_165943g0020,,AT5G25610.1,ATRD22,,,,,,,,
Scots pine ,PITA_000020924,MA_165943g0020,,AT5G25610.1,ATRD22,,,,,,,,
Norway spruce,,MA_167141g0010,GO:0005215,AT1G68570.1,,Major facilitator superfamily protein,SHADE<SUN,1011.400767,1.293463352,0.304953283,4.241513123,2.22E-05,0.000887686
Scots pine ,PITA_000006169,MA_167141g0010,GO:0005215,AT1G68570.1,,Major facilitator superfamily protein,SHADE<SUN,76.38510312,0.074302414,0.239874056,0.309755942,0.756746558,0.945807324
Scots pine ,PITA_000065115,MA_167141g0010,GO:0005215,AT1G68570.1,,Major facilitator superfamily protein,SHADE<SUN,228.3060609,0.325277321,0.650831453,0.499787341,0.617224825,0.899436312
Norway spruce,,MA_16930g0010,GO:0010345,AT2G28670.1,,Disease resistance-responsive (dirigent-like protein) family protein,SHADE>SUN,30.51916554,-1.638774469,0.467822312,-3.502984845,0.000460076,0.010540516
Scots pine ,PITA_000039354,MA_16930g0010,GO:0010345,AT2G28670.1,,Disease resistance-responsive (dirigent-like protein) family protein,SHADE>SUN,59.47323509,-0.453675514,0.475144723,-0.954815433,0.339671042,0.730295799
Scots pine ,PITA_000062936,MA_16930g0010,GO:0010345,AT2G28670.1,,Disease resistance-responsive (dirigent-like protein) family protein,SHADE>SUN,53.88907829,-0.491855215,0.485456535,-1.013180749,0.310973834,0.725770554
Scots pine ,PITA_000050883,MA_16930g0010,GO:0010345,AT2G28670.1,,Disease resistance-responsive (dirigent-like protein) family protein,SHADE>SUN,41.40647289,-0.550368186,0.462274758,-1.190565083,0.233824366,0.632064796
Scots pine ,PITA_000036102,MA_16930g0010,GO:0010345,AT2G28670.1,,Disease resistance-responsive (dirigent-like protein) family protein,SHADE>SUN,45.31706022,-0.744634763,0.595363347,-1.25072322,0.211035476,0.600369099
Scots pine ,PITA_000031802,MA_16930g0010,GO:0010345,AT2G28670.1,,Disease resistance-responsive (dirigent-like protein) family protein,SHADE>SUN,45.87779951,-0.855020923,0.366776468,-2.331177153,0.01974402,0.131059279
Norway spruce,,MA_170509g0020,GO:0001561,AT3G01420.1,ALPHA-DOX1,,,,,,,,
Scots pine ,PITA_000052450,MA_170509g0020,,AT3G01420.1,ALPHA-DOX1,,,,,,,,
Norway spruce,,MA_17212g0010,GO:0005773,AT2G41510.1,ATCKX1,,,,,,,,
Scots pine ,PITA_000045149,MA_17212g0010,,AT2G41510.1,ATCKX1,,,,,,,,
Norway spruce,,MA_172404g0020,GO:0000041,AT3G26125.1,CYP86C2,cytochrome P450,,,,,,,
Scots pine ,PITA_000000349,MA_172404g0020,,AT3G26125.1,CYP86C2,cytochrome P450,,,,,,,
Norway spruce,,MA_173063g0010,,AT5G19140.1,AILP1,,,,,,,,
Scots pine ,PITA_000081951,MA_173063g0010,,AT5G19140.1,AILP1,,,,,,,,
Norway spruce,,MA_175825g0020,,AT5G65030.1,,unknown,SHADE>SUN,40.80105737,-2.235382751,0.518736745,-4.309281678,1.64E-05,0.000691573
Scots pine ,PITA_000047609,MA_175825g0020,,AT5G65030.1,,unknown,SHADE>SUN,22.88224578,-0.163731102,0.808577575,-0.202492756,0.839531521,0.968179857
Norway spruce,,MA_176455g0020,,AT2G21220.1,,SAUR-like auxin-responsive protein family ,SHADE>SUN,21.23873425,-2.746762816,0.698612598,-3.9317396,8.43E-05,0.002691262
Scots pine ,PITA_000074644,MA_176455g0020,,AT2G21220.1,,SAUR-like auxin-responsive protein family ,SHADE<SUN,72.52867776,0.523557765,0.334939548,1.563141072,0.118019417,0.434019288
Scots pine ,PITA_000001246,MA_176455g0020,,AT2G21220.1,,SAUR-like auxin-responsive protein family ,SHADE<SUN,43.46254896,0.65540129,0.312360175,2.098222958,0.035885454,0.200733335
Norway spruce,,MA_17672g0010,GO:0003677,AT5G65790.1,ATMYB68,,,,,,,,
Scots pine ,PITA_000060111,MA_17672g0010,GO:0003677,AT5G65790.1,ATMYB68,,,,,,,,
Norway spruce,,MA_177306g0010,GO:0016787,AT1G53830.1,ATPME2,,,,,,,,
Scots pine ,PITA_000029149,MA_177306g0010,GO:0016787,AT1G53830.1,ATPME2,,,,,,,,
Scots pine ,PITA_000029150,MA_177306g0010,GO:0016787,AT1G53830.1,ATPME2,,,,,,,,
Scots pine ,PITA_000064731,MA_177306g0010,GO:0016787,AT1G53830.1,ATPME2,,,,,,,,
Norway spruce,,MA_177507g0010,,AT5G59150.1,ATRAB-A2D,,,,,,,,
Scots pine ,PITA_000064389,MA_177507g0010,,AT5G59150.1,ATRAB-A2D,,,,,,,,
Scots pine ,PITA_000067976,MA_177507g0010,,AT5G59150.1,ATRAB-A2D,,,,,,,,
Norway spruce,,MA_17845g0010,,AT1G53920.1,GLIP5,GDSL-motif lipase 5,SHADE>SUN,53.31608535,-1.131909127,0.311513912,-3.633574884,0.000279521,0.007060948
Scots pine ,PITA_000021945,MA_17845g0010,,AT1G53920.1,GLIP5,GDSL-motif lipase 5,SHADE<SUN,257.7360664,0.974880523,0.696377086,1.399931936,0.161533701,0.520380118
Scots pine ,PITA_000059942,MA_17845g0010,,AT1G53920.1,GLIP5,GDSL-motif lipase 5,SHADE>SUN,358.653381,-0.394907135,0.742885785,-0.531585263,0.595013274,0.890023781
Scots pine ,PITA_000086636,MA_17845g0010,,AT1G53920.1,GLIP5,GDSL-motif lipase 5,SHADE>SUN,6.961788195,-2.155022413,0.84937672,-2.537180926,0.011174918,0.085414835
Norway spruce,,MA_17859g0010,GO:0001708,AT3G51740.1,IMK2,inflorescence meristem receptor-like kinase 2,SHADE<SUN,322.7760848,0.86125744,0.249301121,3.454687391,0.000550931,0.012158057
Scots pine ,PITA_000007824,MA_17859g0010,GO:0001708,AT3G51740.1,IMK2,inflorescence meristem receptor-like kinase 2,SHADE<SUN,312.4094036,0.33795087,0.268502229,1.258652009,0.208156053,0.597034699
Scots pine ,PITA_000083825,MA_17859g0010,GO:0001708,AT3G51740.1,IMK2,inflorescence meristem receptor-like kinase 2,SHADE<SUN,208.2520314,0.404014572,0.757690033,0.533218802,0.593882127,0.889739585
Scots pine ,PITA_000057092,MA_17859g0010,GO:0001708,AT3G51740.1,IMK2,inflorescence meristem receptor-like kinase 2,SHADE<SUN,64.51599864,0.559965944,0.439467774,1.27419114,0.202595684,0.589132074
Scots pine ,PITA_000083922,MA_17859g0010,GO:0001708,AT3G51740.1,IMK2,inflorescence meristem receptor-like kinase 2,SHADE>SUN,81.74269985,-0.273910324,0.224927408,-1.217772109,0.223310586,0.618187949
Scots pine ,PITA_000016340,MA_17859g0010,GO:0001708,AT3G51740.1,IMK2,inflorescence meristem receptor-like kinase 2,SHADE>SUN,83.12091476,-0.338185212,0.777543072,-0.434940808,0.663605393,0.916683339
Scots pine ,PITA_000077431,MA_17859g0010,GO:0001708,AT3G51740.1,IMK2,inflorescence meristem receptor-like kinase 2,SHADE>SUN,114.4828995,-0.418066957,0.389163376,-1.074271072,0.282701207,0.692592395
Scots pine ,PITA_000034582,MA_17859g0010,GO:0001708,AT3G51740.1,IMK2,inflorescence meristem receptor-like kinase 2,SHADE>SUN,50.72080183,-0.648721024,0.226525867,-2.863783427,0.004186141,0.039771277
Norway spruce,,MA_179108g0010,,AT4G19970.1,,unknown,SHADE<SUN,585.6775874,1.512383747,0.353505636,4.278245083,1.88E-05,0.000776395
Scots pine ,PITA_000028248,MA_179108g0010,,AT4G19970.1,,unknown,SHADE>SUN,230.4174113,-0.157823789,0.797573608,-0.197879905,0.843139027,0.968817908
Norway spruce,,MA_179388g0010,GO:0016020,AT1G08230.2,ATGAT1,,,,,,,,
Scots pine ,PITA_000019148,MA_179388g0010,GO:0016020,AT1G08230.2,ATGAT1,,,,,,,,
Norway spruce,,MA_179594g0010,,AT5G65030.1,,unknown,SHADE>SUN,39.79373944,-2.209224457,0.597992884,-3.694399241,0.000220407,0.005884976
Scots pine ,PITA_000006809,MA_179594g0010,,AT5G65030.1,,unknown,SHADE>SUN,103.0612694,-0.886433298,0.601433447,-1.473867643,0.140517231,0.481529644
Norway spruce,,MA_18092g0010,,AT2G36970.1,,UDP-Glycosyltransferase superfamily protein,SHADE<SUN,481.1094258,2.035004906,0.271316011,7.500496928,6.36E-14,1.63E-11
Scots pine ,PITA_000000941,MA_18092g0010,,AT2G36970.1,,UDP-Glycosyltransferase superfamily protein,SHADE>SUN,135.8256309,-0.520991487,0.642120823,-0.811360523,0.417158663,0.782255118
Norway spruce,,MA_18240g0010,GO:0004252,AT5G67360.1,ARA12,Subtilase family protein,SHADE<SUN,205.3390806,0.99987,0.184502196,5.419285098,5.98E-08,5.12E-06
Scots pine ,PITA_000019397,MA_18240g0010,GO:0004252,AT5G67360.1,ARA12,Subtilase family protein,SHADE<SUN,271.2160982,0.053918248,0.598785024,0.090046087,0.928250592,0.987552848
Scots pine ,PITA_000056964,MA_18240g0010,GO:0004252,AT5G67360.1,ARA12,Subtilase family protein,SHADE<SUN,63.67112926,0.559168871,0.246208206,2.271121991,0.023139594,0.147319183
Scots pine ,PITA_000069380,MA_18240g0010,GO:0004252,AT5G67360.1,ARA12,Subtilase family protein,SHADE>SUN,392.369767,-0.060453386,0.581055877,-0.104040572,0.917137152,0.987086036
Scots pine ,PITA_000019395,MA_18240g0010,GO:0004252,AT5G67360.1,ARA12,Subtilase family protein,SHADE>SUN,623.4209697,-0.177375351,0.65089468,-0.272510064,0.785229854,0.953891068
Scots pine ,PITA_000019393,MA_18240g0010,GO:0004252,AT5G67360.1,ARA12,Subtilase family protein,SHADE>SUN,115.2147943,-0.1969044,0.462470525,-0.425766378,0.670278089,0.919634163
Scots pine ,PITA_000066325,MA_18240g0010,GO:0004252,AT5G67360.1,ARA12,Subtilase family protein,SHADE>SUN,108.9429508,-0.252283106,0.163666214,-1.541448902,0.12320757,0.446807106
Norway spruce,,MA_18401g0010,GO:0003860,AT1G06550.1,,ATP-dependent caseinolytic (Clp) protease/crotonase family protein,SHADE<SUN,44600.44542,2.006526404,0.413772465,4.849347339,1.24E-06,7.62E-05
Scots pine ,PITA_000029781,MA_18401g0010,GO:0003860,AT1G06550.1,,ATP-dependent caseinolytic (Clp) protease/crotonase family protein,SHADE<SUN,110.8789777,0.161964326,0.191622819,0.845224628,0.397985434,0.766658135
Norway spruce,,MA_185349g0010,GO:0005488,AT1G60000.1,,RNA-binding (RRM/RBD/RNP motifs) family protein,SHADE>SUN,299.7267828,-0.966669218,0.226617805,-4.265636657,1.99E-05,0.000809487
Scots pine ,PITA_000093477,MA_185349g0010,GO:0005488,AT1G60000.1,,RNA-binding (RRM/RBD/RNP motifs) family protein,SHADE>SUN,260.5056938,-0.108135479,0.194290941,-0.556564699,0.577824878,0.883039849
Norway spruce,,MA_185473g0020,GO:0000064,AT1G79900.1,ATMBAC2,,,,,,,,
Scots pine ,PITA_000085150,MA_185473g0020,GO:0000064,AT1G79900.1,ATMBAC2,,,,,,,,
Scots pine ,PITA_000057632,MA_185473g0020,GO:0000064,AT1G79900.1,ATMBAC2,,,,,,,,
Norway spruce,,MA_18653g0010,GO:0016787,AT2G29380.1,HAI3,highly ABA-induced PP2C gene 3,SHADE>SUN,35.6080152,-1.115988146,0.32725023,-3.410198199,0.000649157,0.013867651
Scots pine ,PITA_000079711,MA_18653g0010,GO:0016787,AT2G29380.1,HAI3,highly ABA-induced PP2C gene 3,SHADE>SUN,27.23562976,-0.830967314,0.353494985,-2.350718818,0.018737187,0.12635213
Norway spruce,,MA_187850g0010,GO:0009987,AT4G30825.1,,Tetratricopeptide repeat (TPR)-like superfamily protein,SHADE<SUN,467.8596809,0.614650385,0.177222333,3.468244518,0.00052387,0.011672813
Scots pine ,PITA_000084192,MA_187850g0010,GO:0009987,AT4G30825.1,,Tetratricopeptide repeat (TPR)-like superfamily protein,SHADE<SUN,185.8815374,0.538883754,0.694400964,0.776041195,0.437724663,0.797833141
Norway spruce,,MA_189329g0010,GO:0010089,AT3G54260.1,TBL36,TRICHOME BIREFRINGENCE-LIKE 36,SHADE<SUN,335.7995765,1.338432874,0.142038528,9.423026905,4.38E-21,3.03E-18
Scots pine ,PITA_000023430,MA_189329g0010,GO:0010089,AT3G54260.1,TBL36,TRICHOME BIREFRINGENCE-LIKE 36,SHADE<SUN,137.4570322,0.322901996,0.148282346,2.177615918,0.029434643,0.175558243
Norway spruce,,MA_19215g0010,,AT3G11520.1,CYC2,,,,,,,,
Scots pine ,PITA_000075773,MA_19215g0010,,AT3G11520.1,CYC2,,,,,,,,
Scots pine ,PITA_000017697,MA_19215g0010,,AT3G11520.1,CYC2,,,,,,,,
Scots pine ,PITA_000040896,MA_19215g0010,,AT3G11520.1,CYC2,,,,,,,,
Scots pine ,PITA_000038651,MA_19215g0010,,AT3G11520.1,CYC2,,,,,,,,
Scots pine ,PITA_000090888,MA_19215g0010,,AT3G11520.1,CYC2,,,,,,,,
Scots pine ,PITA_000075772,MA_19215g0010,,AT3G11520.1,CYC2,,,,,,,,
Scots pine ,PITA_000002375,MA_19215g0010,,AT3G11520.1,CYC2,,,,,,,,
Scots pine ,PITA_000088233,MA_19215g0010,,AT3G11520.1,CYC2,,,,,,,,
Scots pine ,PITA_000032369,MA_19215g0010,,AT3G11520.1,CYC2,,,,,,,,
Norway spruce,,MA_194242g0010,,AT3G03480.1,CHAT,acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase,SHADE>SUN,57.45583274,-2.182948257,0.494477022,-4.414660659,1.01E-05,0.000462539
Scots pine ,PITA_000084527,MA_194242g0010,,AT3G03480.1,CHAT,acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase,SHADE>SUN,193.3031132,-0.143726015,0.854777622,-0.168144335,0.866469732,0.975932803
Scots pine ,PITA_000009533,MA_194242g0010,,AT3G03480.1,CHAT,acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase,SHADE>SUN,40.84478773,-0.168935617,0.455026145,-0.371265737,0.710439615,0.932509071
Scots pine ,PITA_000026467,MA_194242g0010,,AT3G03480.1,CHAT,acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase,SHADE>SUN,164.8937384,-0.259483949,0.759726466,-0.341549177,0.73269019,0.937965293
Norway spruce,,MA_194304g0010,,AT2G47270.1,,sequence-specific DNA binding transcription factors;transcription regulators,SHADE>SUN,1126.519005,-2.74590235,0.452065099,-6.074130373,1.25E-09,1.57E-07
Scots pine ,PITA_000062524,MA_194304g0010,,AT2G47270.1,,sequence-specific DNA binding transcription factors;transcription regulators,SHADE>SUN,91.33022935,-0.317193198,0.207331651,-1.529883143,0.126045657,0.452020225
Norway spruce,,MA_19520g0020,,AT1G52150.2,ATHB-15,,,,,,,,
Scots pine ,PITA_000037842,MA_19520g0020,,AT1G52150.2,ATHB-15,,,,,,,,
Scots pine ,PITA_000023843,MA_19520g0020,,AT1G52150.2,ATHB-15,,,,,,,,
Norway spruce,,MA_196195g0010,GO:0005506,AT1G14520.2,MIOX1,myo-inositol oxygenase 1,SHADE>SUN,32.46965157,-1.895815749,0.412051643,-4.600917827,4.21E-06,0.000222807
Scots pine ,PITA_000061061,MA_196195g0010,GO:0005506,AT1G14520.2,MIOX1,myo-inositol oxygenase 1,SHADE<SUN,26.0120308,0.486979911,0.730024158,0.667073693,0.504725063,0.842740008
Scots pine ,PITA_000061062,MA_196195g0010,GO:0005506,AT1G14520.2,MIOX1,myo-inositol oxygenase 1,SHADE>SUN,16.26885452,-0.398721314,0.855716062,-0.465950485,0.641250943,0.908840236
Norway spruce,,MA_19907g0010,GO:0016757,AT2G36970.1,,UDP-Glycosyltransferase superfamily protein,SHADE<SUN,689.418335,2.298272299,0.414287472,5.547530289,2.90E-08,2.70E-06
Scots pine ,PITA_000050841,MA_19907g0010,GO:0016757,AT2G36970.1,,UDP-Glycosyltransferase superfamily protein,SHADE<SUN,48.4390971,0.222277143,0.856865969,0.259407131,0.795321128,0.956021471
Norway spruce,,MA_199667g0010,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000090756,MA_199667g0010,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Norway spruce,,MA_20174g0010,,AT1G71015.1,,unknown,SHADE>SUN,190.5072453,-6.795841171,0.622840616,-10.91104368,1.02E-27,1.24E-24
